constraint_score,N90,cv_effect_N90,promoter_dominance,enhancer_load,balance_metric,skewness_effect,vg_eqtl,is_essential,gene_symbol,loeuf_score,cluster,architecture_type,pca1,pca2
-0.669853235365862,22,1.0278311503982913,0.08346079771648236,0.6848552624436605,0.1089335720909948,4.813355604707364,0.000957364,1,RPL10A,0.444,0,buffered (complex),-1.3035883881955292,0.6989925765570986
-0.8315426978737017,16,1.3911509909512958,0.0023628786919486695,0.00148888541069233,0.06754571073240884,13.104936148198313,0.00186921,1,FRS3,0.464,0,buffered (complex),-0.8390687846642523,0.07681239066701208
-0.6917314342701715,5,0.8238075190994907,0.0008267630254515641,0.6639573144003952,0.06817492650115285,5.669998129372643,0.000618188,1,MLH1,0.575,0,buffered (complex),-0.5531784325495701,1.2987896772154122
-0.8074536167724929,9,1.2574426877931595,0.0,0.0,0.16913507381413648,11.15455535145889,0.000648643,1,MTPAP,0.193,0,buffered (complex),-0.643318207701676,1.1908645234654562
0.07859679237848702,7,0.44017527138733453,0.0,0.0,0.04927222434140216,4.473247237183517,0.00133252,1,FRMD4A,0.135,0,buffered (complex),0.565986156348907,0.2568425731434925
0.02674775024374721,7,0.5308034949813054,0.0,0.0,0.007555654087978266,4.003548941287578,0.0140923,1,DIO2,0.539,0,buffered (complex),0.5888559948268562,-0.10538692634605296
-0.6027646376106982,1,0.0,0.045812276915055225,0.0047531019174643285,0.06293824440930271,9.21773837660492,0.000679003,1,SUSD6,0.532,0,buffered (complex),0.2618122902424447,0.3088796949203854
-0.03071298119186178,13,0.6854875656406652,0.002816734020105727,0.8252334779176932,0.033461513775380855,3.4381155638771443,0.00102965,1,STK38L,0.348,0,buffered (complex),-0.30617876086081397,0.9116425212080896
-0.9151912788704523,3,0.7339388163409634,0.04042221861359433,0.014850886547603736,0.11813012734151555,6.208939171613441,0.000454551,1,SP2,0.219,0,buffered (complex),-0.2741035013724907,0.7523719064285169
-0.5547274743938524,9,1.0581413746445516,0.002745346971408924,0.021918180416779752,0.06549157934044061,5.467868777649752,0.000423291,1,UBE2Q1,0.19,0,buffered (complex),-0.2140633614530632,0.32799406825580846
-0.6838433143794191,10,0.7821401290037001,0.04608039140338446,0.13189527015784017,0.07365677439647074,6.521904954764065,0.00271077,1,TBKBP1,0.467,0,buffered (complex),-0.3962629749529888,0.3051193733840204
-0.7247806381843547,16,1.2346802857289212,0.22912434890623415,0.04405147640090659,0.010291291247018759,7.8041545500788345,4.28e-05,1,SARNP,0.185,0,buffered (complex),-0.1960466427560056,-1.4351450713225407
-0.6211731441666566,21,0.6973263342850277,0.031243622367296688,0.3738864589524046,0.06413310590659417,6.220053387426377,0.00039273,1,CTNNBL1,0.51,0,buffered (complex),-1.0697281918137977,0.2702811488535705
-0.8367384074451075,34,1.1862189461681498,0.007885401299243146,0.07717025158939116,0.10867866888530074,5.4008532731192185,0.00026813,1,MMS19,0.421,0,buffered (complex),-1.886651438681427,-0.05715204250218062
-0.4849761912872492,15,0.5352359971439543,0.021160036595118514,0.086478940809145,0.025396622141781316,4.213851763285439,0.0011264,1,TSPAN5,0.381,0,buffered (complex),-0.38724315202926624,-0.20408917408888033
-0.8962032616224642,8,1.323464015213546,0.04955503804752188,0.5133183045514422,0.10940778096807857,17.072059248573716,0.000441219,1,AXIN1,0.403,0,buffered (complex),-0.8006248623736633,1.1366950717662714
0.10784662373492573,7,0.5259298674877929,0.0010700173977700705,0.8222249171277242,0.07595888368990178,8.10202112175102,0.000361946,1,PKN1,0.392,0,buffered (complex),0.06134184697572756,1.4844031308655679
-0.40332113933948116,54,1.2929968130329856,0.2498041036184906,0.022913908116989658,0.013984993404774397,5.381142651457204,0.00014956,1,SET,0.183,0,buffered (complex),-1.7701784298642163,-2.740230224341082
-0.2928890666230134,10,0.4585981007388105,0.0,0.0,0.018880541599523123,3.3222621306778874,0.011815,1,SMOC1,0.592,0,buffered (complex),0.09334177236221572,-0.11749733436520432
0.22201335733612582,8,0.5830608657005093,0.04375767338357794,0.690767564274119,0.0015411761949243289,4.032333435521176,0.0162738,1,CDH20,0.411,0,buffered (complex),0.4153097784234468,0.4658785742321723
